round,emission_micro,total_supply_micro,halving_index
1211,100,121100,0
1212,100,121200,0
1213,100,121300,0
1214,100,121400,0
1215,100,121500,0
1216,100,121600,0
1217,100,121700,0
1218,100,121800,0
1219,100,121900,0
1220,100,122000,0
1221,100,122100,0
1222,100,122200,0
1223,100,122300,0
1224,100,122400,0
1225,100,122500,0
1226,100,122600,0
1227,100,122700,0
1228,100,122800,0
1229,100,122900,0
1230,100,123000,0
1231,100,123100,0
1232,100,123200,0
1233,100,123300,0
1234,100,123400,0
1235,100,123500,0
1236,100,123600,0
1237,100,123700,0
1238,100,123800,0
1239,100,123900,0
1240,100,124000,0
1241,100,124100,0
1242,100,124200,0
1243,100,124300,0
1244,100,124400,0
1245,100,124500,0
1246,100,124600,0
1247,100,124700,0
1248,100,124800,0
1249,100,124900,0
1250,100,125000,0
1251,100,125100,0
1252,100,125200,0
1253,100,125300,0
1254,100,125400,0
1255,100,125500,0
1256,100,125600,0
1257,100,125700,0
1258,100,125800,0
1259,100,125900,0
1260,100,126000,0
1261,100,126100,0
1262,100,126200,0
1263,100,126300,0
1264,100,126400,0
1265,100,126500,0
1266,100,126600,0
1267,100,126700,0
1268,100,126800,0
1269,100,126900,0
1270,100,127000,0
1271,100,127100,0
1272,100,127200,0
1273,100,127300,0
1274,100,127400,0
1275,100,127500,0
1276,100,127600,0
1277,100,127700,0
1278,100,127800,0
1279,100,127900,0
1280,100,128000,0
1281,100,128100,0
1282,100,128200,0
1283,100,128300,0
1284,100,128400,0
1285,100,128500,0
1286,100,128600,0
1287,100,128700,0
1288,100,128800,0
1289,100,128900,0
1290,100,129000,0
1291,100,129100,0
1292,100,129200,0
1293,100,129300,0
1294,100,129400,0
1295,100,129500,0
1296,100,129600,0
1297,100,129700,0
1298,100,129800,0
1299,100,129900,0
1300,100,130000,0
1301,100,130100,0
1302,100,130200,0
1303,100,130300,0
1304,100,130400,0
1305,100,130500,0
1306,100,130600,0
1307,100,130700,0
1308,100,130800,0
1309,100,130900,0
1310,100,131000,0
1311,100,131100,0
1312,100,131200,0
1313,100,131300,0
1314,100,131400,0
1315,100,131500,0
1316,100,131600,0
1317,100,131700,0
1318,100,131800,0
1319,100,131900,0
1320,100,132000,0
1321,100,132100,0
1322,100,132200,0
1323,100,132300,0
1324,100,132400,0
1325,100,132500,0
1326,100,132600,0
1327,100,132700,0
1328,100,132800,0
1329,100,132900,0
1330,100,133000,0
1331,100,133100,0
1332,100,133200,0
1333,100,133300,0
1334,100,133400,0
1335,100,133500,0
1336,100,133600,0
1337,100,133700,0
1338,100,133800,0
1339,100,133900,0
1340,100,134000,0
1341,100,134100,0
1342,100,134200,0
1343,100,134300,0
1344,100,134400,0
1345,100,134500,0
1346,100,134600,0
1347,100,134700,0
1348,100,134800,0
1349,100,134900,0
1350,100,135000,0
1351,100,135100,0
1352,100,135200,0
1353,100,135300,0
1354,100,135400,0
1355,100,135500,0
1356,100,135600,0
1357,100,135700,0
1358,100,135800,0
1359,100,135900,0
1360,100,136000,0
1361,100,136100,0
1362,100,136200,0
1363,100,136300,0
1364,100,136400,0
1365,100,136500,0
1366,100,136600,0
1367,100,136700,0
1368,100,136800,0
1369,100,136900,0
1370,100,137000,0
1371,100,137100,0
1372,100,137200,0
1373,100,137300,0
1374,100,137400,0
1375,100,137500,0
1376,100,137600,0
1377,100,137700,0
1378,100,137800,0
1379,100,137900,0
1380,100,138000,0
1381,100,138100,0
1382,100,138200,0
1383,100,138300,0
1384,100,138400,0
1385,100,138500,0
1386,100,138600,0
1387,100,138700,0
1388,100,138800,0
1389,100,138900,0
1390,100,139000,0
1391,100,139100,0
1392,100,139200,0
1393,100,139300,0
1394,100,139400,0
1395,100,139500,0
1396,100,139600,0
1397,100,139700,0
1398,100,139800,0
1399,100,139900,0
1400,100,140000,0
1401,100,140100,0
1402,100,140200,0
1403,100,140300,0
1404,100,140400,0
1405,100,140500,0
1406,100,140600,0
1407,100,140700,0
1408,100,140800,0
1409,100,140900,0
1410,100,141000,0
1411,100,141100,0
1412,100,141200,0
1413,100,141300,0
1414,100,141400,0
1415,100,141500,0
1416,100,141600,0
1417,100,141700,0
1418,100,141800,0
1419,100,141900,0
1420,100,142000,0
1421,100,142100,0
1422,100,142200,0
1423,100,142300,0
1424,100,142400,0
1425,100,142500,0
1426,100,142600,0
1427,100,142700,0
1428,100,142800,0
1429,100,142900,0
1430,100,143000,0
1431,100,143100,0
1432,100,143200,0
1433,100,143300,0
1434,100,143400,0
1435,100,143500,0
1436,100,143600,0
1437,100,143700,0
1438,100,143800,0
1439,100,143900,0
1440,100,144000,0
1441,100,144100,0
1442,100,144200,0
1443,100,144300,0
1444,100,144400,0
1445,100,144500,0
1446,100,144600,0
1447,100,144700,0
1448,100,144800,0
1449,100,144900,0
1450,100,145000,0
1451,100,145100,0
1452,100,145200,0
1453,100,145300,0
1454,100,145400,0
1455,100,145500,0
1456,100,145600,0
1457,100,145700,0
1458,100,145800,0
1459,100,145900,0
1460,100,146000,0
1461,100,146100,0
1462,100,146200,0
1463,100,146300,0
1464,100,146400,0
1465,100,146500,0
1466,100,146600,0
1467,100,146700,0
1468,100,146800,0
1469,100,146900,0
1470,100,147000,0
1471,100,147100,0
1472,100,147200,0
1473,100,147300,0
1474,100,147400,0
1475,100,147500,0
1476,100,147600,0
1477,100,147700,0
1478,100,147800,0
1479,100,147900,0
1480,100,148000,0
1481,100,148100,0
1482,100,148200,0
1483,100,148300,0
1484,100,148400,0
1485,100,148500,0
1486,100,148600,0
1487,100,148700,0
